player_id,full_name,position,legend_score,source_tier,is_manually_curated,curation_tier,justification
00-0026163,Rashard Mendenhall,RB,54.05,2,False,,Algorithmic scoring
00-0030432,Christine Michael,RB,32.26,2,False,,Algorithmic scoring
00-0034845,Sony Michel,RB,44.95,2,False,,Algorithmic scoring
00-0028149,Bruce Miller,RB,21.15,2,False,,Algorithmic scoring
00-0029615,Lamar Miller,RB,65.87,2,False,,Algorithmic scoring
00-0020448,Travis Minor,RB,36.95,2,False,,Algorithmic scoring
00-0011399,Brian Mitchell,RB,30.45,2,False,,Algorithmic scoring
00-0036567,Elijah Mitchell,RB,33.79,2,False,,Algorithmic scoring
00-0033897,Joe Mixon,RB,68.9,2,False,,Algorithmic scoring
00-0023512,Ryan Moats,RB,27.79,2,False,,Algorithmic scoring
